SAMPLE_ID	mutations
TARGET-15-PAREAT-09B	NA
TARGET-15-PARWPU-09A	NA
TARGET-15-PARWPU-09A.1	WXS
TARGET-15-PARWPU-09A.2	WXS
TARGET-15-PARWPU-09A.3	WXS
TARGET-15-PARWPU-09B	NA
TARGET-15-PASZVW-09B	NA
TARGET-15-PAUFIB-09B	NA
TARGET-15-PAVFTF-09B	NA
TARGET-15-SJMLL003311-09A.1	WXS
TARGET-15-SJMLL003311-09A.2	WXS
TARGET-15-SJMPAL003414-04A	NA
TARGET-15-SJMPAL004013-04A	NA
TARGET-15-SJMPAL004013-04A.1	WXS
TARGET-15-SJMPAL005001-04A	NA
TARGET-15-SJMPAL011911-03A	WXS
TARGET-15-SJMPAL011911-03A.1	WXS
TARGET-15-SJMPAL011912-09A	NA
TARGET-15-SJMPAL011912-09A.1	WXS
TARGET-15-SJMPAL011913-09A	NA
TARGET-15-SJMPAL011914-09A	WXS
TARGET-15-SJMPAL011914-09B	NA
TARGET-15-SJMPAL011915-09A	WXS
TARGET-15-SJMPAL012417-09A	NA
TARGET-15-SJMPAL012418-09A	NA
TARGET-15-SJMPAL012418-09A.1	WXS
TARGET-15-SJMPAL012418-09A.2	WXS
TARGET-15-SJMPAL012418-09A.3	WXS
TARGET-15-SJMPAL012419-04A.1	WXS
TARGET-15-SJMPAL012419-09A	NA
TARGET-15-SJMPAL012419-09A.1	WXS
TARGET-15-SJMPAL012419-09B	NA
TARGET-15-SJMPAL012420-09A	NA
TARGET-15-SJMPAL012420-09A.1	WXS
TARGET-15-SJMPAL012420-09A.2	WXS
TARGET-15-SJMPAL012421-09B	NA
TARGET-15-SJMPAL012422-09A	NA
TARGET-15-SJMPAL012422-09A.1	WXS
TARGET-15-SJMPAL012422-09A.2	WXS
TARGET-15-SJMPAL012422-09A.3	WXS
TARGET-15-SJMPAL012424-03A.1	WXS
TARGET-15-SJMPAL012424-03A.2	WXS
TARGET-15-SJMPAL012425-09A	NA
TARGET-15-SJMPAL012425-09A.1	WXS
TARGET-15-SJMPAL012425-09A.2	WXS
TARGET-15-SJMPAL012426-09A.1	WXS
TARGET-15-SJMPAL012426-09A.2	WXS
TARGET-15-SJMPAL012426-09A.3	WXS
TARGET-15-SJMPAL016340-09A	NA
TARGET-15-SJMPAL016342-09A	NA
TARGET-15-SJMPAL016342-09A.1	WXS
TARGET-15-SJMPAL016342-09A.2	WXS
TARGET-15-SJMPAL016342-09A.3	WXS
TARGET-15-SJMPAL016342-09B	NA
TARGET-15-SJMPAL016343-04A	WXS
TARGET-15-SJMPAL016343-09A	NA
TARGET-15-SJMPAL016343-09A.1	WXS
TARGET-15-SJMPAL016343-09A.2	WXS
TARGET-15-SJMPAL016343-09A.3	WXS
TARGET-15-SJMPAL016344-09A	NA
TARGET-15-SJMPAL016447-09A	NA
TARGET-15-SJMPAL016447-09A.1	WXS
TARGET-15-SJMPAL016447-09A.2	WXS
TARGET-15-SJMPAL016447-09A.3	WXS
TARGET-15-SJMPAL016448-09A	NA
TARGET-15-SJMPAL017973-09A	NA
TARGET-15-SJMPAL017973-09A.1	WXS
TARGET-15-SJMPAL017973-09A.2	WXS
TARGET-15-SJMPAL017975-03A	NA
TARGET-15-SJMPAL017975-03A.1	WXS
TARGET-15-SJMPAL017975-03A.2	WXS
TARGET-15-SJMPAL017975-03B	NA
TARGET-15-SJMPAL017976-09A.1	WXS
TARGET-15-SJMPAL017976-09A.2	WXS
TARGET-15-SJMPAL017976-09A.3	WXS
TARGET-15-SJMPAL017977-09A	NA
TARGET-15-SJMPAL017978-09A	NA
TARGET-15-SJMPAL017978-09A.1	WXS
TARGET-15-SJMPAL017978-09A.2	WXS
